iter	Passed	Remaining
0	4	4256
1	7	3991
2	11	3856
3	15	3768
4	19	3795
5	22	3758
6	26	3782
7	30	3754
8	34	3788
9	38	3804
10	42	3832
11	46	3803
12	50	3811
13	54	3817
14	58	3831
15	62	3821
16	66	3847
17	70	3871
18	75	3894
19	79	3887
20	83	3901
21	87	3892
22	91	3893
23	95	3889
24	99	3898
25	103	3888
26	108	3893
27	111	3886
28	116	3900
29	120	3908
30	125	3936
31	130	3958
32	135	3967
33	139	3972
34	144	3975
35	148	3978
36	152	3970
37	156	3972
38	161	3971
39	165	3972
40	169	3966
41	174	3974
42	178	3980
43	183	3978
44	187	3977
45	191	3979
46	196	3976
47	200	3969
48	204	3974
49	208	3967
50	213	3965
51	217	3958
52	221	3961
53	225	3953
54	230	3953
55	234	3958
56	239	3965
57	244	3970
58	249	3983
59	266	4172
60	272	4197
61	278	4214
62	284	4236
63	290	4247
64	296	4271
65	303	4300
66	310	4318
67	316	4332
68	322	4346
69	328	4363
70	334	4375
71	339	4375
72	344	4380
73	350	4381
74	354	4373
75	359	4376
76	364	4367
77	368	4361
78	373	4356
79	378	4350
80	383	4346
81	387	4343
82	393	4351
83	399	4360
84	405	4363
85	410	4358
86	415	4355
87	419	4349
88	424	4347
89	429	4341
90	434	4340
91	439	4337
92	443	4329
93	449	4332
94	454	4329
95	459	4326
96	464	4328
97	469	4319
98	474	4313
99	478	4304
100	482	4297
101	487	4292
102	492	4288
103	497	4285
104	501	4278
105	506	4273
106	511	4271
107	516	4262
108	521	4261
109	525	4254
110	530	4248
111	534	4240
112	539	4236
113	544	4230
114	548	4221
115	553	4218
116	557	4209
117	562	4202
118	566	4195
119	571	4191
120	576	4186
121	580	4181
122	585	4175
123	589	4166
124	594	4161
125	598	4153
126	603	4147
127	607	4139
128	612	4133
129	616	4127
130	621	4119
131	626	4117
132	630	4109
133	635	4104
134	639	4097
135	644	4091
136	648	4085
137	653	4079
138	657	4075
139	661	4066
140	666	4060
141	670	4054
142	675	4048
143	679	4041
144	684	4033
145	688	4027
146	692	4019
147	697	4013
148	701	4008
149	706	4004
150	710	3995
151	715	3990
152	719	3984
153	724	3977
154	728	3969
155	732	3965
156	738	3963
157	742	3956
158	747	3953
159	752	3950
160	757	3945
161	761	3941
162	766	3935
163	771	3932
164	775	3926
165	780	3923
166	785	3918
167	789	3912
168	795	3909
169	800	3907
170	810	3930
171	814	3922
172	818	3915
173	822	3906
174	828	3903
175	832	3896
176	837	3892
177	842	3891
178	847	3886
179	852	3883
180	856	3877
181	861	3871
182	865	3865
183	870	3860
184	875	3856
185	879	3849
186	884	3843
187	888	3836
188	893	3833
189	897	3826
190	902	3823
191	907	3818
192	911	3812
193	917	3810
194	922	3806
195	926	3801
196	931	3796
197	935	3791
198	940	3786
199	945	3781
200	950	3778
201	954	3772
202	959	3768
203	965	3765
204	969	3761
205	974	3756
206	979	3752
207	984	3748
208	989	3745
209	994	3741
210	999	3736
211	1004	3731
212	1009	3728
213	1014	3725
214	1019	3720
215	1024	3717
216	1029	3714
217	1034	3709
218	1039	3707
219	1044	3702
220	1049	3698
221	1054	3695
222	1059	3690
223	1064	3686
224	1068	3682
225	1073	3677
226	1078	3673
227	1083	3669
228	1088	3665
229	1093	3659
230	1098	3655
231	1103	3654
232	1108	3648
233	1112	3642
234	1117	3638
235	1122	3632
236	1126	3627
237	1130	3621
238	1135	3615
239	1139	3608
240	1144	3603
241	1148	3597
242	1153	3592
243	1157	3585
244	1162	3581
245	1167	3576
246	1171	3570
247	1175	3565
248	1180	3559
249	1184	3554
250	1188	3547
251	1194	3544
252	1199	3541
253	1204	3537
