iter	Logloss
0	0.6723798657
1	0.655643033
2	0.635446827
3	0.6245178674
4	0.613083478
5	0.6009485382
6	0.587174167
7	0.576855559
8	0.5684512662
9	0.5604169073
10	0.5527403544
11	0.5419827107
12	0.5362976977
13	0.5309035324
14	0.5256890316
15	0.5186339429
16	0.513743628
17	0.5073861565
18	0.5026502345
19	0.4977001818
20	0.4946294139
21	0.4904944795
22	0.4864169137
23	0.481372657
24	0.4786581156
25	0.4757716378
26	0.4737344625
27	0.4704169592
28	0.4676668798
29	0.4660972271
30	0.4640870156
31	0.4623723057
32	0.460732282
33	0.4582550557
34	0.4563039896
35	0.4542113073
36	0.4531392152
37	0.4513505805
38	0.4488655697
39	0.4465225417
40	0.4453614917
41	0.4439911622
42	0.4427324954
43	0.4420514909
44	0.4406429157
45	0.4397356241
46	0.4387108315
47	0.4375473276
48	0.4366954585
49	0.4359464522
50	0.4352177816
51	0.4343450127
52	0.4337697761
53	0.4332120828
54	0.4322001233
55	0.4317467878
56	0.4309699998
57	0.4303409485
58	0.4299839323
59	0.4291613679
60	0.428702194
61	0.4279257163
62	0.4275131649
63	0.4269543717
64	0.4263815889
65	0.4260599697
66	0.4253942239
67	0.4250159978
68	0.4247149963
69	0.4241289008
70	0.4238209892
71	0.4234880035
72	0.4230201143
73	0.4226570341
74	0.42242206
75	0.4217750422
76	0.4213604037
77	0.4210288564
78	0.4207289549
79	0.4204491353
80	0.4201329878
81	0.419956313
82	0.4198119327
83	0.4196117916
84	0.4194013839
85	0.4192155708
86	0.4190979286
87	0.4188828671
88	0.4183300533
89	0.4181469478
90	0.4179513759
91	0.4177582013
92	0.4175147376
93	0.4172531946
94	0.4171070374
95	0.416773826
96	0.4163369903
97	0.4161624591
98	0.4159212518
99	0.4156806932
100	0.41528718
101	0.4151035386
102	0.4147860938
103	0.4146363546
104	0.4143601451
105	0.4142198827
106	0.414050936
107	0.4137061043
108	0.4135443781
109	0.4133307832
110	0.4131735416
111	0.4130160742
112	0.4128656581
113	0.4127407673
114	0.4124771654
115	0.4123354082
116	0.4122585219
117	0.4121347311
118	0.4119838637
119	0.4117493973
120	0.4115123361
121	0.411287544
122	0.4111600583
123	0.4109537121
124	0.4108502005
125	0.4107326994
126	0.4106635695
127	0.4105597195
128	0.4104234621
129	0.4103355196
130	0.4102246466
131	0.4101238709
132	0.410032713
133	0.4099258169
134	0.4097525831
135	0.4096346025
136	0.4095057066
137	0.409380844
138	0.409275612
139	0.4091311189
140	0.4089181727
141	0.4088427813
142	0.4087129547
143	0.4085785871
144	0.4084653449
145	0.408332867
146	0.4082122069
147	0.4081266618
148	0.4079954814
149	0.407901362
150	0.4077695046
151	0.4076058605
152	0.4075190461
153	0.4073671916
154	0.4072648082
155	0.4070828027
156	0.4069670221
157	0.406867572
158	0.4067642579
159	0.4066370261
160	0.4065192147
161	0.4064321465
162	0.4063436681
163	0.4062420463
164	0.406132245
165	0.4060320334
166	0.4059299321
167	0.4058332743
168	0.4057109783
169	0.4056238538
170	0.4055166474
171	0.4054711248
172	0.4053811234
173	0.4052803195
174	0.4051285777
175	0.4050618734
176	0.4049561901
177	0.4048300583
178	0.4047306928
179	0.4046210044
180	0.4045202851
181	0.4044103711
182	0.4042979468
183	0.4042221887
184	0.4041430461
185	0.4040436524
186	0.4039802763
187	0.403870475
188	0.4038217936
189	0.4037216102
190	0.4036188884
191	0.4035219767
192	0.4034376162
193	0.4033426507
194	0.4032957743
195	0.4031999345
196	0.4031058433
197	0.4030248956
198	0.4029561041
199	0.4029121893
200	0.4028127956
201	0.4026311568
202	0.4025692755
203	0.4025137684
204	0.4023720958
205	0.4022821225
206	0.4021706854
207	0.4020325102
208	0.4019315653
209	0.4018360639
210	0.4017487418
211	0.4016583737
212	0.4015720107
213	0.40147854
214	0.4013820514
215	0.4012764809
216	0.4012000459
217	0.4011222289
218	0.4010163482
219	0.400933962
220	0.4008482194
221	0.4007514488
222	0.4006450604
223	0.400566228
224	0.4005179414
225	0.4004282502
226	0.4003024004
227	0.4002093528
228	0.400145469
229	0.4000959978
230	0.4000037682
231	0.3999363305
232	0.3998837286
233	0.3998158679
234	0.3997621942
235	0.3997024846
236	0.3996450033
237	0.3995967731
238	0.3995427609
239	0.3995018922
240	0.3994588235
241	0.3993931345
242	0.3993278405
243	0.3992351877
244	0.3991643373
245	0.3991141328
246	0.3990439593
247	0.3989794268
248	0.3989070815
249	0.3988585975
250	0.3988006648
251	0.3987597679
252	0.3987042045
253	0.3986594153
254	0.3985997903
255	0.3985010172
256	0.3984272899
257	0.3983755623
258	0.3983195758
259	0.3982623201
260	0.3981902568
261	0.3981306883
262	0.3980869709
263	0.3980284178
264	0.3979646186
265	0.3978911451
266	0.3978320561
267	0.3977594287
268	0.3976914834
269	0.3976195048
270	0.397561685
271	0.3974992396
272	0.3974297712
273	0.397400128
274	0.397365831
275	0.3973178264
276	0.3972700475
277	0.3971653513
278	0.3971238057
279	0.3970734037
280	0.3970010867
281	0.3969284029
282	0.3968785087
283	0.3968162043
284	0.3967570589
285	0.39668807
286	0.3966233118
287	0.3965875481
288	0.3964970107
289	0.3964283885
290	0.3963490484
291	0.3962361729
292	0.3961554226
293	0.3960845722
294	0.3960284164
295	0.39596583
296	0.3959058948
297	0.3958531801
298	0.3957586095
299	0.3956725284
300	0.3956271187
301	0.3956053164
302	0.3955379352
303	0.3954756026
304	0.3954088701
305	0.3953679168
306	0.3953249891
307	0.3952230852
308	0.395173755
309	0.395118248
310	0.3950414182
311	0.394959173
312	0.3949003378
313	0.3947822162
314	0.3947417141
315	0.3946443512
316	0.3945934698
317	0.3945399935
318	0.3944700738
319	0.3943946542
320	0.3943261166
321	0.3942572687
322	0.3941944284
323	0.3941205883
324	0.3940734863
325	0.3939880822
326	0.3939283445
327	0.3938386815
328	0.3937458877
329	0.3936904935
330	0.3936316584
331	0.3935595669
332	0.3934942728
333	0.3934498785
334	0.393397192
335	0.3933113648
336	0.3932588757
337	0.3931931021
338	0.393142531
339	0.3930633037
340	0.3929441667
341	0.3928566755
342	0.3928116042
343	0.3927561818
344	0.3926475088
345	0.3925832865
346	0.3924744724
347	0.3923545739
348	0.3922560263
349	0.3921985732
350	0.3921550532
351	0.3920534032
352	0.3919618504
353	0.3919062306
354	0.3918172727
355	0.3917295558
356	0.3916475645
357	0.3915965138
358	0.3915290762
359	0.3914396106
360	0.391368873
361	0.3912574077
362	0.3911635986
363	0.3910985019
364	0.3909505396
365	0.3908547562
366	0.3907954133
367	0.3907062862
368	0.3906347589
369	0.3905143244
370	0.3904485509
371	0.390399813
372	0.3902982194
373	0.3902226869
374	0.3901354777
375	0.3900276508
376	0.38996639
377	0.3898493684
378	0.3897452927
379	0.3896642886
380	0.3895646411
381	0.3895320646
382	0.3894169326
383	0.3893527385
384	0.3892336015
385	0.3891368591
386	0.3890574344
387	0.3889606356
388	0.3888789545
389	0.3887965402
390	0.388712095
391	0.3886383113
392	0.3885252947
393	0.3884453342
