iter	Passed	Remaining
0	4	4857
1	9	4885
2	13	4591
3	17	4368
4	21	4221
5	25	4179
6	28	4101
7	32	4028
8	36	4004
9	40	4011
10	44	3980
11	47	3936
12	51	3916
13	55	3912
14	59	3893
15	63	3900
16	67	3883
17	70	3872
18	75	3889
19	79	3883
20	84	3920
21	88	3932
22	92	3927
23	96	3937
24	100	3928
25	104	3925
26	109	3928
27	112	3917
28	116	3904
29	120	3887
30	124	3892
31	128	3895
32	132	3876
33	136	3865
34	140	3877
35	144	3863
36	148	3856
37	151	3846
38	156	3860
39	160	3849
40	164	3843
41	167	3828
42	172	3829
43	175	3817
44	179	3804
45	182	3790
46	186	3786
47	190	3785
48	194	3778
49	198	3770
50	202	3777
51	206	3772
52	210	3764
53	214	3765
54	219	3764
55	222	3756
56	226	3748
57	230	3742
58	234	3733
59	238	3729
60	241	3719
61	245	3712
62	249	3715
63	253	3710
64	257	3705
65	261	3699
66	265	3691
67	269	3691
68	273	3692
69	277	3688
70	281	3680
71	285	3679
72	289	3673
73	293	3668
74	296	3661
75	300	3659
76	305	3656
77	308	3649
78	312	3642
79	316	3640
80	321	3642
81	324	3637
82	328	3629
83	332	3627
84	338	3640
85	342	3638
86	346	3632
87	350	3636
88	354	3631
89	358	3624
90	362	3619
91	366	3621
92	370	3617
93	374	3611
94	379	3612
95	383	3611
96	387	3608
97	391	3600
98	394	3593
99	398	3589
100	402	3582
101	406	3576
102	409	3569
103	413	3566
104	417	3559
105	421	3553
106	424	3545
107	428	3540
108	432	3535
109	436	3529
110	440	3524
111	443	3518
112	447	3516
113	451	3509
114	455	3507
115	459	3503
116	463	3500
117	467	3495
118	471	3492
119	475	3488
120	479	3483
121	483	3476
122	486	3471
123	490	3466
124	494	3462
125	498	3459
126	502	3456
127	506	3452
128	510	3448
129	514	3444
130	518	3440
131	522	3434
132	525	3428
133	529	3424
134	533	3418
135	537	3412
136	540	3406
137	544	3403
138	548	3399
139	552	3394
140	555	3387
141	559	3382
142	563	3377
143	567	3371
144	570	3363
145	574	3358
146	577	3353
147	581	3347
148	584	3341
149	588	3335
150	592	3330
151	596	3328
152	600	3323
153	603	3317
154	607	3313
155	612	3311
156	615	3306
157	619	3301
158	623	3297
159	627	3295
160	631	3290
161	635	3285
162	638	3279
163	642	3276
164	646	3271
165	650	3269
166	654	3264
167	658	3260
168	662	3257
169	666	3253
170	670	3249
171	674	3247
172	678	3242
173	682	3237
174	685	3233
175	689	3228
176	693	3224
177	697	3220
178	701	3218
179	705	3213
180	709	3210
181	713	3205
182	717	3202
183	721	3198
184	725	3194
185	728	3189
186	732	3185
187	736	3182
188	740	3178
189	744	3174
190	748	3171
191	752	3165
192	756	3161
193	759	3156
194	763	3152
195	767	3148
196	771	3145
197	775	3141
198	779	3138
199	783	3133
200	787	3131
201	791	3127
202	795	3123
203	799	3118
204	803	3114
205	807	3111
206	811	3107
207	814	3103
208	818	3098
209	822	3094
210	826	3089
211	829	3084
212	833	3080
213	837	3076
214	841	3072
215	845	3067
216	848	3062
217	852	3059
218	856	3055
219	860	3051
220	864	3047
221	869	3048
222	874	3046
223	878	3044
224	883	3044
225	887	3040
226	891	3035
227	895	3031
228	899	3028
229	903	3025
230	908	3022
231	911	3018
232	915	3013
233	919	3008
234	923	3004
235	926	2999
236	930	2994
237	934	2991
238	938	2987
239	941	2982
240	945	2978
241	949	2974
242	953	2969
243	956	2964
244	960	2960
245	964	2955
246	968	2952
247	972	2948
248	976	2944
249	979	2939
250	983	2935
251	987	2931
252	991	2927
253	995	2923
254	999	2919
255	1003	2916
256	1007	2912
257	1011	2908
258	1015	2906
259	1020	2903
260	1023	2898
261	1027	2894
262	1031	2891
263	1035	2886
264	1039	2881
265	1042	2876
266	1047	2874
267	1051	2871
268	1054	2866
269	1059	2863
270	1063	2860
271	1067	2857
272	1071	2853
273	1075	2849
274	1079	2846
275	1083	2842
276	1087	2838
277	1091	2833
278	1095	2830
279	1099	2826
280	1103	2822
281	1106	2818
282	1111	2816
283	1115	2813
284	1119	2808
285	1123	2804
286	1129	2806
287	1133	2801
288	1137	2797
289	1141	2794
290	1145	2790
291	1149	2786
292	1153	2782
293	1157	2778
294	1161	2774
295	1164	2770
296	1168	2765
297	1172	2762
298	1176	2759
299	1180	2754
300	1184	2749
301	1188	2746
302	1192	2742
303	1196	2738
304	1199	2734
305	1203	2730
306	1207	2726
307	1211	2722
308	1215	2718
309	1219	2714
310	1223	2710
311	1227	2705
312	1230	2700
313	1234	2696
314	1237	2692
315	1241	2688
316	1245	2683
